,0,1,2,3
307,-0.7794593,-1.0368633,0.5589313,5.2346287
308,-0.8842795,-0.9392989,0.50099915,5.134813
309,-1.1205417,-0.7057013,0.4331191,4.955918
310,-1.3391671,-0.4951504,0.3599067,4.787045
311,-1.2204058,0.0055374205,0.6212609,3.6950839
312,-1.4536605,0.23798147,0.62391716,3.5797873
313,-1.583399,0.37809348,0.6306637,3.5110345
314,-1.5378792,0.33869523,0.6526848,3.554546
315,-1.2459482,0.053654253,0.67439866,3.6933339
316,-0.91838855,-0.27195463,0.7002833,3.8886025
317,-0.6547689,-0.5286954,0.72256124,4.0287886
318,-0.39584985,-0.7862416,0.7403514,4.1620765
319,-0.2665455,-0.920006,0.75549084,4.2452416
320,-0.3274493,-0.8644697,0.76097035,4.2357373
321,-0.5067839,-0.6913343,0.75274837,4.149387
322,-0.80761594,-0.39714363,0.7429962,4.010983
323,-1.0792019,-0.12684003,0.73173165,3.870949
324,-1.7832098,-0.038970903,0.39087817,4.587758
325,-1.6280154,0.41216943,0.64018583,3.5321314
326,-1.6394722,0.43370584,0.633,3.5096736
327,-1.5078217,0.30226025,0.6498714,3.5840409
328,-1.1965387,-0.005681783,0.6924591,3.7626069
329,-0.86334926,-0.33167288,0.7158518,3.9440687
330,-0.58046436,-0.61279947,0.74342513,4.105494
331,-0.39367267,-0.7985683,0.7564527,4.2069955
332,-0.33249435,-0.85959846,0.75371015,4.233351
333,-0.4372141,-0.76058465,0.753863,4.1906624
334,-0.7308633,-0.47353378,0.7461797,4.0505576
335,-1.4054062,-0.41423112,0.43126145,4.813769
336,-1.7286007,-0.09383023,0.3703356,4.600427
337,-1.5617304,0.35763556,0.67026114,3.5745237
338,-1.661355,0.46116537,0.6317233,3.475314
339,-1.6048863,0.41101974,0.6612494,3.524256
340,-1.3973999,0.21043806,0.69353,3.6404724
341,-1.0785815,-0.10687494,0.7067537,3.8048604
342,-0.7698673,-0.4083564,0.73618203,3.9734867
343,-0.5337054,-0.64340323,0.74597734,4.0952554
344,-0.34322283,-0.83819765,0.7583743,4.2047772
345,-0.3242729,-0.8576982,0.7616659,4.226791
346,-0.6156802,-0.57295513,0.74887913,4.082516
347,-0.8470054,-0.34736708,0.7394208,3.9678462
348,-1.5586011,-0.25146812,0.41240546,4.701575
349,-1.9202226,0.10900445,0.52221876,4.64029
350,-2.1232378,1.3844342,0.7514315,5.356487
351,-2.428642,1.5251236,-0.32905456,4.04722
352,-2.2840142,1.3742936,-0.309463,4.1368413
353,-1.9685967,1.0231867,-0.28462276,4.374409
